AnnotatorID,NumTweetsAnnotated,NumAnnotations,HateSpeech_Count,Offensive_Count,Neutral_Count,Ethnicity,Age,Education,Party,EnglishFirst
5,50,50,17,20,13,White,42.0,2.0,3.0,1.0
6,50,50,32,7,11,White,20.0,2.0,2.0,1.0
7,50,50,20,22,8,Hispanic,19.0,3.0,2.0,2.0
8,50,50,15,18,17,White,22.0,2.0,2.0,1.0
9,50,50,21,2,27,White,27.0,6.0,2.0,1.0
10,50,50,10,22,18,White,43.0,5.0,3.0,1.0
11,50,50,12,12,26,White,32.0,4.0,2.0,1.0
12,50,50,15,4,31,White,68.0,2.0,2.0,1.0
13,50,50,16,18,16,Hispanic,23.0,3.0,2.0,1.0
14,50,50,18,19,13,Hispanic,20.0,3.0,2.0,1.0
15,50,50,15,18,17,White,82.0,3.0,2.0,1.0
16,50,50,20,16,14,Sth else,25.0,5.0,3.0,1.0
17,50,50,12,19,19,Sth else,27.0,4.0,3.0,1.0
18,50,50,20,15,15,White,20.0,3.0,2.0,1.0
19,50,50,14,21,15,White,32.0,4.0,2.0,1.0
20,50,50,3,22,25,White,19.0,3.0,2.0,1.0
21,50,50,9,17,24,Afr american,34.0,5.0,2.0,1.0
22,50,50,12,9,29,White,72.0,2.0,1.0,1.0
23,50,50,23,4,23,White,66.0,4.0,1.0,1.0
24,50,50,8,25,17,White,24.0,4.0,3.0,1.0
25,50,50,13,17,20,Asian,25.0,3.0,2.0,1.0
26,50,50,16,11,23,White,24.0,2.0,2.0,1.0
27,50,50,12,20,18,White,22.0,4.0,3.0,1.0
28,50,50,12,23,15,White,63.0,5.0,3.0,1.0
29,50,50,8,25,17,Afr american,33.0,4.0,3.0,1.0
30,50,50,8,15,27,White,33.0,3.0,3.0,1.0
31,50,50,8,25,17,White,52.0,4.0,3.0,1.0
32,50,50,16,13,21,White,29.0,4.0,2.0,1.0
33,50,50,13,16,21,White,27.0,5.0,2.0,1.0
34,50,50,31,8,11,White,40.0,4.0,2.0,1.0
35,50,50,30,7,13,White,21.0,3.0,2.0,1.0
36,50,50,15,20,15,White,19.0,2.0,1.0,1.0
37,50,50,9,24,17,White,30.0,3.0,3.0,1.0
38,50,50,23,11,16,White,29.0,3.0,2.0,1.0
39,50,50,8,28,14,Hispanic,55.0,3.0,3.0,1.0
40,50,50,6,21,23,White,22.0,4.0,1.0,1.0
41,50,50,20,15,15,White,30.0,4.0,2.0,1.0
42,50,50,2,13,35,White,64.0,2.0,1.0,1.0
43,50,50,5,25,20,White,43.0,4.0,2.0,1.0
44,50,50,18,18,14,White,61.0,3.0,2.0,1.0
45,50,50,11,21,18,Hispanic,38.0,4.0,1.0,2.0
46,7,7,3,1,3,Prefer not to say,,,,
47,50,50,6,31,13,White,65.0,3.0,2.0,1.0
48,50,50,18,5,27,Afr american,65.0,4.0,3.0,1.0
49,50,50,16,17,17,Hispanic,37.0,2.0,1.0,1.0
50,50,50,11,23,16,Sth else,25.0,1.0,3.0,1.0
51,50,50,12,14,24,White,47.0,4.0,2.0,1.0
52,50,50,13,20,17,Asian,35.0,4.0,2.0,2.0
53,50,50,15,8,27,White,37.0,6.0,2.0,1.0
55,50,50,25,5,20,Asian,27.0,4.0,2.0,1.0
56,50,50,7,17,26,Afr american,27.0,5.0,2.0,1.0
57,50,50,10,20,20,Afr american,20.0,2.0,2.0,1.0
58,50,50,10,23,17,White,21.0,2.0,3.0,1.0
59,50,50,5,28,17,White,33.0,4.0,1.0,1.0
60,50,50,8,23,19,Asian,36.0,4.0,3.0,2.0
61,50,50,13,16,21,White,24.0,4.0,3.0,1.0
62,50,50,10,8,32,White,27.0,2.0,3.0,1.0
63,50,50,13,17,20,White,33.0,4.0,1.0,1.0
64,50,50,2,10,38,White,49.0,4.0,1.0,1.0
65,50,50,21,7,22,White,27.0,5.0,2.0,1.0
66,50,50,10,18,22,White,53.0,2.0,2.0,2.0
67,50,50,25,6,19,Hispanic,37.0,4.0,2.0,1.0
68,50,50,22,16,12,White,57.0,4.0,2.0,1.0
69,50,50,11,16,23,Hispanic,42.0,3.0,2.0,1.0
70,50,50,8,20,22,White,26.0,4.0,3.0,1.0
71,50,50,11,24,15,White,27.0,4.0,2.0,1.0
72,50,50,11,27,12,White,48.0,4.0,2.0,1.0
73,50,50,7,19,24,Sth else,32.0,3.0,2.0,1.0
74,50,50,11,15,24,White,55.0,4.0,1.0,1.0
75,50,50,19,10,21,Afr american,34.0,4.0,3.0,1.0
76,50,50,14,10,26,Hispanic,22.0,2.0,2.0,1.0
77,50,50,21,13,16,White,45.0,3.0,1.0,1.0
78,50,50,20,11,19,White,54.0,4.0,2.0,1.0
79,50,50,17,16,17,White,39.0,4.0,3.0,1.0
80,50,50,9,22,19,Afr american,31.0,4.0,3.0,1.0
81,50,50,10,2,38,White,25.0,3.0,2.0,1.0
82,50,50,11,15,24,White,47.0,2.0,2.0,1.0
83,50,50,13,16,21,White,27.0,4.0,2.0,1.0
84,50,50,3,25,22,White,36.0,5.0,2.0,1.0
85,50,50,16,12,22,White,47.0,4.0,3.0,1.0
86,50,50,14,15,21,Hispanic,31.0,4.0,3.0,1.0
87,50,50,0,30,20,White,66.0,5.0,3.0,1.0
88,50,50,19,18,13,White,48.0,4.0,2.0,1.0
89,50,50,4,24,22,White,32.0,2.0,,1.0
90,50,50,10,17,23,Afr american,36.0,3.0,3.0,1.0
91,50,50,8,22,20,White,34.0,4.0,2.0,1.0
92,50,50,19,0,31,White,27.0,4.0,2.0,1.0
93,50,50,6,28,16,Asian,26.0,4.0,2.0,1.0
94,50,50,12,18,20,White,50.0,4.0,2.0,1.0
95,50,50,36,2,12,White,40.0,4.0,2.0,1.0
96,50,50,9,13,28,White,52.0,4.0,3.0,1.0
97,50,50,9,23,18,White,61.0,4.0,2.0,1.0
98,50,50,10,21,19,Sth else,52.0,3.0,3.0,1.0
99,50,50,9,17,24,White,34.0,4.0,2.0,1.0
100,50,50,18,14,18,White,29.0,3.0,3.0,1.0
101,50,50,6,18,26,Asian,20.0,3.0,3.0,1.0
103,50,50,5,21,24,White,29.0,5.0,1.0,1.0
104,50,50,23,13,14,Afr american,30.0,6.0,2.0,1.0
105,50,50,15,17,18,Afr american,32.0,4.0,2.0,1.0
106,50,50,17,12,21,White,46.0,4.0,1.0,1.0
107,50,50,16,21,13,Asian,66.0,5.0,2.0,2.0
108,4,4,3,0,1,Prefer not to say,,,,
109,50,50,3,10,37,White,62.0,3.0,3.0,1.0
110,50,50,19,11,20,White,20.0,2.0,2.0,1.0
111,50,50,6,22,22,Afr american,28.0,4.0,3.0,1.0
112,50,50,5,23,22,White,34.0,4.0,2.0,1.0
113,50,50,19,0,31,White,26.0,4.0,2.0,1.0
114,50,50,10,26,14,White,31.0,3.0,3.0,1.0
115,50,50,30,0,20,White,57.0,4.0,2.0,1.0
116,50,50,10,13,27,White,22.0,4.0,3.0,1.0
117,50,50,7,19,24,White,26.0,4.0,3.0,1.0
118,50,50,28,3,19,White,40.0,3.0,2.0,1.0
119,50,50,20,18,12,White,42.0,5.0,2.0,1.0
120,50,50,18,24,8,Afr american,31.0,2.0,2.0,1.0
121,50,50,8,18,24,White,42.0,5.0,2.0,1.0
123,50,50,14,12,24,White,50.0,4.0,2.0,1.0
124,50,50,9,22,19,White,60.0,4.0,1.0,1.0
125,50,50,13,14,23,White,71.0,3.0,2.0,1.0
126,50,50,9,19,22,Hispanic,51.0,4.0,3.0,2.0
127,50,50,25,14,11,Asian,36.0,4.0,2.0,1.0
128,50,50,19,5,26,Afr american,34.0,2.0,2.0,1.0
129,50,50,14,25,11,White,34.0,3.0,2.0,1.0
130,50,50,14,22,14,Hispanic,30.0,3.0,3.0,1.0
131,50,50,12,12,26,Hispanic,52.0,4.0,2.0,1.0
132,50,50,11,22,17,White,40.0,1.0,2.0,1.0
133,50,50,21,14,15,White,40.0,4.0,2.0,1.0
134,50,50,10,15,25,White,51.0,4.0,1.0,1.0
135,50,50,13,8,29,White,60.0,4.0,2.0,1.0
136,50,50,14,13,23,White,63.0,4.0,3.0,1.0
137,50,50,16,9,25,White,41.0,3.0,3.0,1.0
138,50,50,3,23,24,White,35.0,3.0,3.0,1.0
139,50,50,32,1,17,White,71.0,3.0,3.0,1.0
140,50,50,13,16,21,White,43.0,3.0,2.0,1.0
141,50,50,11,23,16,White,64.0,5.0,2.0,1.0
142,50,50,11,18,21,White,29.0,4.0,2.0,1.0
143,50,50,10,19,21,White,58.0,4.0,3.0,1.0
144,50,50,12,20,18,White,39.0,2.0,2.0,1.0
145,50,50,9,30,11,White,38.0,2.0,1.0,1.0
146,50,50,14,18,18,Hispanic,45.0,4.0,2.0,1.0
147,50,50,20,16,14,Asian,32.0,4.0,2.0,1.0
148,50,50,2,23,25,White,27.0,2.0,2.0,1.0
149,50,50,16,19,15,White,29.0,4.0,2.0,1.0
150,50,50,13,20,17,White,32.0,3.0,2.0,1.0
151,50,50,13,17,20,White,53.0,4.0,3.0,1.0
152,50,50,5,25,20,White,39.0,4.0,3.0,1.0
153,50,50,11,16,23,White,56.0,4.0,3.0,1.0
154,50,50,7,28,15,Afr american,32.0,4.0,3.0,1.0
155,50,50,14,25,11,Hispanic,45.0,2.0,3.0,2.0
156,50,50,21,10,19,White,36.0,4.0,1.0,1.0
157,50,50,0,0,50,White,47.0,3.0,1.0,1.0
